,address,lat,lng
83,"12150 E 96th St N, Owasso, OK 74055, USA",36.2914338,-95.83857920000001
84,"11 E Illinois St Ste 501, Chicago, IL 60611, USA",41.8906454,-87.6274522
85,"Goodnight, MO, USA",37.4521071,-93.23196779999999
86,"3202 S Memorial Dr # 3, Tulsa, OK 74145, USA",36.1167468,-95.8872468
87,"Goodnight, MO, USA",37.4521071,-93.23196779999999
88,"412 S Main St, Tulsa, OK 74103, USA",36.1519518,-95.99051140000002
89,"Goodnight, MO, USA",37.4521071,-93.23196779999999
90,"May, Millfield, OH 45761, USA",39.4042837,-82.12478349999999
91,"Goodnight, MO, USA",37.4521071,-93.23196779999999
92,"2775 US-75, Lebo, KS 66856, USA",38.4274457,-95.72731279999999
93,"Goodnight, MO, USA",37.4521071,-93.23196779999999
94,"Goodnight, MO, USA",37.4521071,-93.23196779999999
95,"111 E Chestnut St, Coweta, OK 74429, USA",35.9521076,-95.650038
96,"416 S Commerce #106, Wichita, KS 67202, USA",37.681816,-97.330798
97,"Sweet, San Antonio, TX 78204, USA",29.4114505,-98.49931199999999
98,"River Thames, United Kingdom",51.57448429999999,-0.6100188
99,"Salina, OK 74365, USA",36.292683,-95.1529171
100,"150 Bay St #2a, Jersey City, NJ 07302, USA",40.7210221,-74.03994589999999
101,"1 Morris St, New York, NY 10004, USA",40.7059138,-74.01412289999999
102,"River Thames, United Kingdom",51.57448429999999,-0.6100188
103,"Sweet, San Antonio, TX 78204, USA",29.4114505,-98.49931199999999
104,"River Thames, United Kingdom",51.57448429999999,-0.6100188
105,"1532 Magazine St Suite A, New Orleans, LA 70130, USA",29.9336654,-90.0726507
106,"1400 W 4th St, Coffeyville, KS 67337, USA",37.0412191,-95.6393166
107,"Boardman, OH 44512, USA",41.0058703,-80.6629344
108,"506 Main St, Neodesha, KS 66757, USA",37.4176935,-95.68017239999999
109,"506 Main St, Neodesha, KS 66757, USA",37.4176935,-95.68017239999999
110,"1351B Redwood Way, Petaluma, CA 94954, USA",38.2766295,-122.6669266
111,"3610 Central Ave, Middletown, OH 45044, USA",39.511026,-84.365719
112,"5739 Cr 6200, Cherryvale, KS 67335, USA",37.3547619,-95.5701352
113,"Profsoyuznaya Ulitsa, 34, Kazan, Respublika Tatarstan, Russia, 420111",55.79003729999999,49.1186664
114,"1407 N 8th St, Neodesha, KS 66757, USA",37.432104,-95.68372339999999
115,"798 Neapolitan Way, Naples, FL 34103, USA",26.2022088,-81.80251559999999
116,"Smyrna, GA, USA",33.8839926,-84.51437609999999
117,"London, UK",51.5073509,-0.1277583
118,"3200 Regent Blvd, Irving, TX 75063, USA",32.9193119,-96.98762409999999
119,"812 W Maple St, Independence, KS 67301, USA",37.22244999999999,-95.7168962
120,"201 N 8th St, Independence, KS 67301, USA",37.2248874,-95.7083943
121,"Al Batal Ahamed Abd Al Asas, Madinet Tala, Tala, Menofia Governorate, Egypt",30.6834662,30.9448895
122,"609 Walnut St, Cincinnati, OH 45202, USA",39.103132,-84.51202599999999
123,"2240 Industrial Rd, Sapulpa, OK 74066, USA",36.02714,-96.10323319999999
124,"101 N Rangeline Rd, Joplin, MO 64801, USA",37.091711,-94.4741605
125,"13132 NE 177th Pl, Woodinville, WA 98072, USA",47.7561733,-122.1642369
126,"1400 W Walnut St #124, Rogers, AR 72756, USA",36.3329943,-94.13703339999999
127,"1400 W Walnut St #124, Rogers, AR 72756, USA",36.3329943,-94.13703339999999
128,"11344 E 11th St, Tulsa, OK 74128, USA",36.1476871,-95.8496437
129,"3700 Washington Rd, Kenosha, WI 53144, USA",42.6039333,-87.85439079999999
130,"520 W Erie St #440, Chicago, IL 60654, USA",41.894031,-87.642335
131,United States,37.09024,-95.712891
132,"Flush, Pottawatomie, KS 66535, USA",39.2944407,-96.4405567
133,"Thiva 322 00, Greece",38.322579,23.3204309
134,"3000 Chestnut Ave #336, Baltimore, MD 21211, USA",39.3243981,-76.6296761
135,"1400 W Walnut St #124, Rogers, AR 72756, USA",36.3329943,-94.13703339999999
136,"619 Louisiana Ave, Shreveport, LA 71101, USA",32.5100545,-93.7497812
137,"M12, Malawi",-13.9956386,33.6557378
138,"Victoria, Australia",-37.4713077,144.7851531
139,"812 W Maple St, Independence, KS 67301, USA",37.22244999999999,-95.7168962
140,"1407 N 8th St, Neodesha, KS 66757, USA",37.432104,-95.68372339999999
141,"219 Evans Rd, Mannford, OK 74044, USA",36.1210062,-96.3524925
142,"River Thames, United Kingdom",51.57448429999999,-0.6100188
143,"812 W Maple St, Independence, KS 67301, USA",37.22244999999999,-95.7168962
144,"14800 Quorum Dr #140, Dallas, TX 75254, USA",32.9490204,-96.8249527
145,"800 Washington St, Great Bend, KS 67530, USA",38.3594392,-98.7739771
146,"1815 SE Bison, Bartlesville, OK 74006, USA",36.722156,-95.90236
147,"Oil, Denton, TX 76208, USA",33.2131993,-97.0716877
148,"2110 S Santa Fe Ave, Chanute, KS 66720, USA",37.6597416,-95.4519301
